state,year,population,incumbent,incumbent,spending,spending,votes,votes,winner,winner,name,name
,,,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP
NC,2002,8326201.0,0.0,0.0,13335229.0,13840946.0,1047983.0,1248664.0,0.0,1.0,"Bowles, Erskine B.","Dole, Elizabeth H."
NC,2008,9309449.0,0.0,1.0,8977412.0,17268326.0,2249311.0,1887510.0,1.0,0.0,"Hagan, Kay","Dole, Elizabeth"
NC,2010,9574323.0,0.0,1.0,2918568.0,8429583.0,1145074.0,1458046.0,0.0,1.0,"Marshall, Elaine","Burr, Richard"
NC,2014,9932887.0,1.0,0.0,22520800.0,11000378.0,1377651.0,1423259.0,0.0,1.0,"Hagan, Kay","Tillis, Thom"
NC,2016,10154788.0,0.0,1.0,14458013.0,12566765.0,2128165.0,2395376.0,0.0,1.0,"Ross, Deborah K.","Burr, Richard"
ND,2006,649422.0,1.0,0.0,4664878.0,259080.0,150146.0,64417.0,1.0,0.0,"Conrad, Kent","Grotberg, Dwight"
ND,2010,674715.0,0.0,0.0,103569.0,3801481.0,52955.0,181689.0,0.0,1.0,"Potter, Tracy","Hoeven, John"
ND,2012,701176.0,0.0,0.0,5642938.0,6502926.0,161163.0,158282.0,1.0,0.0,"Heitkamp, Heidi","Berg, Rick"
ND,2016,754434.0,0.0,1.0,21714.0,2943354.0,58116.0,268788.0,0.0,1.0,"Glassheim, Eliot","Hoeven, John"
ND,2018,758080.0,1.0,0.0,29525599.65,6031115.66,144376.0,179720.0,0.0,1.0,"Heitkamp, Heidi","Cramer, Kevin"
NE,2002,1728292.0,0.0,1.0,0.0,1617002.0,70290.0,397438.0,0.0,1.0,"Matulka, Charlie A.","Hagel, Chuck"
NE,2006,1772693.0,1.0,0.0,6066750.0,13424896.0,378388.0,213928.0,1.0,0.0,"Nelson, Ben","Ricketts, Pete"
NE,2008,1796378.0,0.0,0.0,1852096.21,3907749.0,317456.0,455854.0,0.0,1.0,"Kleeb, Scott ","Johanns, Mike "
NE,2012,1853303.0,0.0,0.0,5798058.0,5283975.0,332979.0,455593.0,0.0,1.0,"Kerrey, Bob ","Fischer, Deb"
NE,2014,1879321.0,0.0,0.0,1233898.0,6652548.0,170127.0,347636.0,0.0,1.0,"Domina, Dave","Sasse, Ben"
NE,2018,1925614.0,0.0,1.0,2106074.58,4508637.55,269917.0,403151.0,0.0,1.0,"Raybould, Jane","Fischer, Deb"
NH,2002,1269089.0,0.0,1.0,5837914.0,7255397.0,207478.0,229625.0,0.0,1.0,"Shaheen, Jeanne","Sununu, John E."
NH,2008,1315906.0,0.0,1.0,8273501.0,7376457.0,358438.0,314403.0,1.0,0.0,"Shaheen, Jeanne","Sununu, John E."
NH,2014,1333341.0,1.0,0.0,15187554.0,9222677.0,251184.0,235347.0,1.0,0.0,"Shaheen, Jeanne","Brown, Scott P."
NH,2016,1342307.0,0.0,1.0,18698223.0,13980279.89,354649.0,353632.0,1.0,0.0,"Hassan, Maggie","Ayotte, Kelly"
NJ,2002,8552643.0,0.0,0.0,3096137.0,10623030.0,1138193.0,928439.0,1.0,0.0,"Lautenberg, Frank R.","Forrester, Douglas R."
NJ,2006,8661679.0,1.0,0.0,11950586.56,7879053.0,1200843.0,997775.0,1.0,0.0,"Menendez, Robert","Kean, Thomas H. Jr."
NJ,2008,8711090.0,1.0,0.0,7219668.0,1542809.0,1951218.0,1461025.0,1.0,0.0,"Lautenberg, Frank","Zimmer, Dick"
NJ,2012,8844942.0,1.0,0.0,12290307.0,4640451.95,1995160.0,1329405.0,1.0,0.0,"Menendez, Robert","Kyrillos, Joe"
